projectile,proj_type,calibre,proj_mass,proj_density,proj_hardness,Material,thickness,density,modulus,hardness,yield,PR,UTS,elongation,Ludwik-n,angle,v50
20MMFSP,frag,19.9,53.78,7.85,260,AA7085-T711,25.4,2.85,69.6,170.0,513.0,0.33,552.0,11.0,0.0579,0,461
20MMFSP,frag,19.9,53.78,7.85,260,AA7085-T711,25.4,2.85,69.6,170.0,513.0,0.33,552.0,11.0,0.0579,0,448
20MMFSP,frag,19.9,53.78,7.85,260,AA7085-T711,38.0,2.85,69.6,179.0,513.0,0.33,552.0,11.0,0.0579,0,835
145MMBS41,AP,10.922,37.9,14.85,730,AA7085-T711,63.4,2.85,69.6,174.0,513.0,0.33,552.0,11.0,0.0579,0,838
145MMBS41,AP,10.922,37.9,14.85,730,AA7085-T711,74.0,2.85,69.6,170.0,513.0,0.33,552.0,11.0,0.0579,0,937
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7085-T711,12.6,2.85,69.6,183.0,513.0,0.33,552.0,11.0,0.0579,30,511
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7085-T711,18.6,2.85,69.6,179.0,513.0,0.33,552.0,11.0,0.0579,0,598
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7085-T711,18.6,2.85,69.6,179.0,513.0,0.33,552.0,11.0,0.0579,30,668
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7085-T711,25.4,2.85,69.6,170.0,513.0,0.33,552.0,11.0,0.0579,0,722
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7085-T711,38.0,2.85,69.6,179.0,513.0,0.33,552.0,11.0,0.0579,0,908
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7085-T711,38.0,2.85,69.6,179.0,513.0,0.33,552.0,11.0,0.0579,0,665
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7085-T711,56.5,2.85,69.6,166.0,513.0,0.33,552.0,11.0,0.0579,0,853
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7085-T711,63.4,2.85,69.6,174.0,513.0,0.33,552.0,11.0,0.0579,0,907
